id,xd_id,pref_name_for_society,glottocode,HRAF_name_ID,Sources,Pages
SCCS2,xd1,!Kung,juho1239,San (FX10),81,6655
SCCS1,xd3,Nama,nama1265,Khoi (FX13),12,856
SCCS13,xd5,Mbuti,bila1255,Mbuti (FO04),7,1549
SCCS9,xd9,Hadza,hadz1240,Hadza (FN11),19,730
SCCS4,xd26,Lozi,lozi1239,Lozi (FQ09),12,1770
SCCS3,xd27,Tsonga,tson1249,Tsonga (FT06),10,1377
SCCS5,xd28,Mbundu,umbu1257,Ovimbundu (FP13),13,2198
SCCS6,xd41,Suku,suku1259,Suku (FO46),10,222
SCCS7,xd55,Bemba,town1238,Bemba (FQ05),11,1314
SCCS10,xd81,Luguru,lugu1238,Luguru (FN32),15,846
SCCS11,xd109,Kikuyu,kiku1240,Gikuyu (FL10),23,2064
SCCS8,xd123,Nyakyusa,nyak1261,Nyakyusa and Ngonde (FN17),10,1313
SCCS12,xd124,Ganda,gand1255,Ganda (FK07),30,4102
SCCS14,xd160,Nkundo,nkun1238,Mongo (FO32),,
SCCS15,xd173,Banen,tune1261,Banen (FH26),,
SCCS18,xd186,Fon,fonn1241,Fon (FA18),,
SCCS17,xd187,Igbo,nucl1417,Igbo (FF26),,
SCCS19,xd208,Ashanti,asan1239,Akan (FE12),,
SCCS20,xd230,Mende,mend1266,Mende (FC07),,
SCCS22,xd244,Bambara,bamb1269,Bambara (FA08),,
SCCS23,xd277,Tallensi,taln1239,Tallensi (FE11),,
SCCS16,xd320,Tiv,tivv1240,Tiv (FF57),,
SCCS30,xd338,Otoro,otor1240,Nuba (FJ21),,
SCCS28,xd359,Azande,zand1248,Azande (FO07),,
SCCS32,xd378,Mao,hozo1236,Mao (MP19),,
SCCS31,xd380,Shilluk,shil1265,Shilluk (FJ23),,
SCCS27,xd383,Masa,masa1322,Masa (FI21),,
SCCS34,xd395,Maasi,masa1300,Masai (FL12),,
SCCS35,xd415,Konso,kons1243,Konso (MP17),,
SCCS36,xd426,Somali,nort3051,Somali (MO04),,
SCCS33,xd438,Kafa,kafa1242,Kaffa (MP14),,
SCCS38,xd445,Blin,bili1260,Bilen (MN06),,
SCCS37,xd455,Amhara,amha1245,Amhara (MP05),,
SCCS29,xd466,Fur,furr1244,Fur (MQ08),,
SCCS21,xd469,Wolof,nucl1347,Wolof (MS30),,
SCCS25,xd474,Wodaabe Fulani,boro1274,Fulani (MS11),,
SCCS26,xd476,Zazzagawa Hausa,araw1280,Hausa (MS12),,
SCCS24,xd480,Songhai,koyr1242,Songhai (MS20),,
